検出された有効なトークン:  
出現回数  品詞ID  品詞内訳                        文字列
     555       9  記号, 読点                      、
     296      24  助詞, 連体化                    の
     267      16  助詞, 係助詞                    は
     236      18  助詞, 接続助詞                  て
     220      13  助詞, 格助詞, 一般              を
     214      25  助動詞                          た
     203      13  助詞, 格助詞, 一般              に
      97      13  助詞, 格助詞, 一般              が
      94      25  助動詞                          だ
      91      25  助動詞                          で
      76      41  名詞, 固有名詞, 一般            メロス
      75      59  名詞, 代名詞, 一般              私
      74      16  助詞, 係助詞                    も
      66      14  助詞, 格助詞, 引用              と
      59      31  動詞, 自立                      し
      36      25  助動詞                          ぬ
      36      25  助動詞                          な
      35      33  動詞, 非自立                    いる
      29      38  名詞, 一般                      人
      27      18  助詞, 接続助詞                  から
      24      22  助詞, 副助詞／並立助詞／終助詞  か
      23      25  助動詞                          ない
      21      68  連体詞                          その
      20      33  動詞, 非自立                    い
      20      10  形容詞, 自立                    無い
      19      33  動詞, 非自立                    来
      19      33  動詞, 非自立                    なら
      19      33  動詞, 非自立                    くれ
      19      25  助動詞                          ある
      18      38  名詞, 一般                      王
      18      32  動詞, 接尾                      れ
      18      25  助動詞                          う
      16      31  動詞, 自立                      なっ
      15      63  名詞, 非自立, 一般              事
      15      59  名詞, 代名詞, 一般              おまえ
      15      41  名詞, 固有名詞, 一般            セリヌンティウス
      15      38  名詞, 一般                      友
      15      18  助詞, 接続助詞                  ば
      15       2  感動詞                          ああ
      13      59  名詞, 代名詞, 一般              君
      13      25  助動詞                          ます
      12      68  連体詞                          この
      12      67  名詞, 副詞可能                  いま
      12      65  名詞, 非自立, 助動詞語幹        よう
      12      38  名詞, 一般                      妹
      12      21  助詞, 副助詞                    まで
      11      59  名詞, 代名詞, 一般              何
      11      59  名詞, 代名詞, 一般              それ
      11      38  名詞, 一般                      男
      11      38  名詞, 一般                      市
      11      31  動詞, 自立                      出来
      11      31  動詞, 自立                      信じ
      11      25  助動詞                          あっ
      11      10  形容詞, 自立                    いい
      10      63  名詞, 非自立, 一般              もの
      10      59  名詞, 代名詞, 一般              ここ
      10      48  名詞, 数                        三
      10      48  名詞, 数                        一
      10      32  動詞, 接尾                      られ
      10      31  動詞, 自立                      走る
      10      31  動詞, 自立                      走っ
      10      21  助詞, 副助詞                    でも
       9      68  連体詞                          あの
       9      58  名詞, 接尾, 副詞可能            時
       9      51  名詞, 接尾, 一般                たち
       9      38  名詞, 一般                      村
       9      38  名詞, 一般                      日
       9      38  名詞, 一般                      声
       9      34  副詞, 一般                      もう
       9      32  動詞, 接尾                      れる
       9      31  動詞, 自立                      帰っ
       9      26  接続詞                          それから
       9      25  助動詞                          なかっ
       9      25  助動詞                          です
       9      25  助動詞                          たい
       8      38  名詞, 一般                      陽
       8      38  名詞, 一般                      わし
       8      35  副詞, 助詞類接続                すぐ
       8      33  動詞, 非自立                    下さい
       8      31  動詞, 自立                      殺し
       8      31  動詞, 自立                      さ
       8      30  接頭詞, 名詞接続                お
       8      25  助動詞                          たら
       8      18  助詞, 接続助詞                  ながら
       8      17  助詞, 終助詞                    ぞ
       7      63  名詞, 非自立, 一般              こと
       7      52  名詞, 接尾, 形容動詞語幹        気
       7      48  名詞, 数                        二
       7      38  名詞, 一般                      群衆
       7      38  名詞, 一般                      心
       7      35  副詞, 助詞類接続                どう
       7      32  動詞, 接尾                      せ
       7      31  動詞, 自立                      殺さ
       7      31  動詞, 自立                      おくれ
       7      26  接続詞                          そうして
       7      25  助動詞                          なけれ
       7      17  助詞, 終助詞                    よ
       6      66  名詞, 非自立, 副詞可能          為
       6      55  名詞, 接尾, 人名                さま
       6      48  名詞, 数                        十
       6      38  名詞, 一般                      間
       6      38  名詞, 一般                      身代り
       6      38  名詞, 一般                      自分
       6      38  名詞, 一般                      結婚式
       6      38  名詞, 一般                      濁流
       6      38  名詞, 一般                      暴君
       6      38  名詞, 一般                      家
       6      36  名詞, サ変接続                  約束
       6      33  動詞, 非自立                    やる
       6      31  動詞, 自立                      答え
       6      31  動詞, 自立                      待っ
       6      31  動詞, 自立                      出
       6      25  助動詞                          なく
       6      25  助動詞                          だろ
       6      25  助動詞                          ず
       6      25  助動詞                          ござい
       6      21  助詞, 副助詞                    だけ
       6      15  助詞, 格助詞, 連語              という
       6      13  助詞, 格助詞, 一般              へ
       5      67  名詞, 副詞可能                  夜
       5      67  名詞, 副詞可能                  今
       5      66  名詞, 非自立, 副詞可能          まま
       5      63  名詞, 非自立, 一般              者
       5      63  名詞, 非自立, 一般              つもり
       5      51  名詞, 接尾, 一般                目
       5      38  名詞, 一般                      頬
       5      38  名詞, 一般                      羊
       5      38  名詞, 一般                      王城
       5      38  名詞, 一般                      流れ
       5      38  名詞, 一般                      夢
       5      38  名詞, 一般                      兄
       5      38  名詞, 一般                      信実
       5      36  名詞, サ変接続                  出発
       5      35  副詞, 助詞類接続                少し
       5      35  副詞, 助詞類接続                まだ
       5      35  副詞, 助詞類接続                ちょっと
       5      33  動詞, 非自立                    来い
       5      33  動詞, 非自立                    しまっ
       5      31  動詞, 自立                      言う
       5      31  動詞, 自立                      殴れ
       5      31  動詞, 自立                      殴っ
       5      31  動詞, 自立                      死ぬ
       5      31  動詞, 自立                      歩い
       5      31  動詞, 自立                      挙げ
       5      31  動詞, 自立                      わけ
       5      31  動詞, 自立                      なる
       5      31  動詞, 自立                      する
       5      26  接続詞                          けれども
       5      21  助詞, 副助詞                    ばかり
       5      15  助詞, 格助詞, 連語              として
       5      12  形容詞, 非自立                  よい
       4      67  名詞, 副詞可能                  はじめ
       4      67  名詞, 副詞可能                  きょう
       4      66  名詞, 非自立, 副詞可能          頃
       4      66  名詞, 非自立, 副詞可能          うち
       4      63  名詞, 非自立, 一般              方
       4      59  名詞, 代名詞, 一般              彼
       4      59  名詞, 代名詞, 一般              なん
       4      59  名詞, 代名詞, 一般              これ
       4      59  名詞, 代名詞, 一般              あれ
       4      55  名詞, 接尾, 人名                様
       4      38  名詞, 一般                      雨
       4      38  名詞, 一般                      花婿
       4      38  名詞, 一般                      老爺
       4      38  名詞, 一般                      祝宴
       4      38  名詞, 一般                      磔
       4      38  名詞, 一般                      眼
       4      38  名詞, 一般                      王様
       4      38  名詞, 一般                      牧人
       4      38  名詞, 一般                      浪
       4      38  名詞, 一般                      様子
       4      38  名詞, 一般                      峠
       4      38  名詞, 一般                      山賊
       4      38  名詞, 一般                      婿
       4      38  名詞, 一般                      如く
       4      38  名詞, 一般                      命
       4      38  名詞, 一般                      勇者
       4      38  名詞, 一般                      力
       4      38  名詞, 一般                      刑場
       4      38  名詞, 一般                      他
       4      36  名詞, サ変接続                  質問
       4      36  名詞, サ変接続                  仕度
       4      36  名詞, サ変接続                  一ぱい
       4      35  副詞, 助詞類接続                そう
       4      35  副詞, 助詞類接続                これから
       4      34  副詞, 一般                      既に
       4      34  副詞, 一般                      ついに
       4      33  動詞, 非自立                    行く
       4      33  動詞, 非自立                    行き
       4      33  動詞, 非自立                    来る
       4      31  動詞, 自立                      言い
       4      31  動詞, 自立                      覚め
       4      31  動詞, 自立                      笑っ
       4      31  動詞, 自立                      沈ま
       4      31  動詞, 自立                      掻き
       4      31  動詞, 自立                      まえ
       4      31  動詞, 自立                      かけ
       4      26  接続詞                          また
       4      26  接続詞                          ただ
       4      26  接続詞                          いや
       4      25  助動詞                          る
       4      25  助動詞                          まし
       4      21  助詞, 副助詞                    ほど
       4      21  助詞, 副助詞                    だって
       4      10  形容詞, 自立                    高く
       4      10  形容詞, 自立                    佳い
       3      67  名詞, 副詞可能                  あす
       3      66  名詞, 非自立, 副詞可能          ため
       3      59  名詞, 代名詞, 一般              あなた
       3      53  名詞, 接尾, 助数詞              度
       3      48  名詞, 数                        六
       3      43  名詞, 固有名詞, 人名, 姓        此
       3      41  名詞, 固有名詞, 一般            神々
       3      41  名詞, 固有名詞, 一般            おまえら
       3      40  名詞, 形容動詞語幹              静か
       3      40  名詞, 形容動詞語幹              正直
       3      40  名詞, 形容動詞語幹              平和
       3      40  名詞, 形容動詞語幹              大事
       3      38  名詞, 一般                      顔
       3      38  名詞, 一般                      音
       3      38  名詞, 一般                      野
       3      38  名詞, 一般                      身
       3      38  名詞, 一般                      路
       3      38  名詞, 一般                      花嫁
       3      38  名詞, 一般                      腕
       3      38  名詞, 一般                      胸
       3      38  名詞, 一般                      縄
       3      38  名詞, 一般                      精
       3      38  名詞, 一般                      石工
       3      38  名詞, 一般                      水
       3      38  名詞, 一般                      正義
       3      38  名詞, 一般                      村人
       3      38  名詞, 一般                      最後
       3      38  名詞, 一般                      日没
       3      38  名詞, 一般                      手
       3      38  名詞, 一般                      情
       3      38  名詞, 一般                      姿
       3      38  名詞, 一般                      太陽
       3      38  名詞, 一般                      人間
       3      38  名詞, 一般                      人質
       3      38  名詞, 一般                      亭主
